,site_name,lat,lon,id,geometry
0,Penasqutios,32.957789,-117.125824,0,"POLYGON ((-117.0470928150091 32.957789, -117.0474719271842 32.95007199439243, -117.0486056126522 32.94242930776741, -117.0504829534022 32.93493454337505, -117.0530858696165 32.92765987989351, -117.0563892937892 32.92067537630884, -117.0603614121395 32.91404829720869, -117.0649639709964 32.90784246498752, -117.0701526452021 32.90211764520208, -117.0758774649875 32.8969289709964, -117.0820832972087 32.8923264121395, -117.0887103763088 32.88835429378918, -117.0956948798935 32.88505086961654, -117.1029695433751 32.88244795340221, -117.1104643077674 32.88057061265222, -117.1181069943924 32.87943692718425, -117.125824 32.8790578150091, -117.1335410056076 32.87943692718425, -117.1411836922326 32.88057061265222, -117.1486784566249 32.88244795340221, -117.1559531201065 32.88505086961654, -117.1629376236911 32.88835429378918, -117.1695647027913 32.8923264121395, -117.1757705350125 32.8969289709964, -117.1814953547979 32.90211764520208, -117.1866840290036 32.90784246498752, -117.1912865878605 32.91404829720869, -117.1952587062108 32.92067537630884, -117.1985621303835 32.92765987989351, -117.2011650465978 32.93493454337505, -117.2030423873478 32.94242930776741, -117.2041760728157 32.95007199439243, -117.2045551849909 32.957789, -117.2041760728157 32.96550600560757, -117.2030423873478 32.97314869223258, -117.2011650465978 32.98064345662495, -117.1985621303835 32.98791812010649, -117.1952587062108 32.99490262369115, -117.1912865878605 33.0015297027913, -117.1866840290036 33.00773553501247, -117.1814953547979 33.01346035479791, -117.1757705350125 33.0186490290036, -117.1695647027913 33.0232515878605, -117.1629376236911 33.02722370621082, -117.1559531201065 33.03052713038345, -117.1486784566249 33.03313004659778, -117.1411836922326 33.03500738734778, -117.1335410056076 33.03614107281575, -117.125824 33.0365201849909, -117.1181069943924 33.03614107281575, -117.1104643077674 33.03500738734778, -117.1029695433751 33.03313004659778, -117.0956948798935 33.03052713038345, -117.0887103763088 33.02722370621082, -117.0820832972087 33.0232515878605, -117.0758774649875 33.0186490290036, -117.0701526452021 33.01346035479791, -117.0649639709964 33.00773553501247, -117.0603614121395 33.0015297027913, -117.0563892937892 32.99490262369115, -117.0530858696165 32.98791812010649, -117.0504829534022 32.98064345662495, -117.0486056126522 32.97314869223258, -117.0474719271842 32.96550600560757, -117.0470928150091 32.957789))"
1,North Poway,32.97503,-117.039214,1,"POLYGON ((-116.9604828150091 32.97503, -116.9608619271843 32.96731299439243, -116.9619956126522 32.95967030776741, -116.9638729534022 32.95217554337505, -116.9664758696165 32.94490087989351, -116.9697792937892 32.93791637630884, -116.9737514121395 32.93128929720869, -116.9783539709964 32.92508346498752, -116.9835426452021 32.91935864520208, -116.9892674649875 32.9141699709964, -116.9954732972087 32.90956741213949, -117.0021003763088 32.90559529378918, -117.0090848798935 32.90229186961654, -117.0163595433751 32.89968895340221, -117.0238543077674 32.89781161265222, -117.0314969943924 32.89667792718425, -117.039214 32.8962988150091, -117.0469310056076 32.89667792718425, -117.0545736922326 32.89781161265222, -117.0620684566249 32.89968895340221, -117.0693431201065 32.90229186961654, -117.0763276236912 32.90559529378918, -117.0829547027913 32.90956741213949, -117.0891605350125 32.9141699709964, -117.0948853547979 32.91935864520208, -117.1000740290036 32.92508346498752, -117.1046765878605 32.93128929720869, -117.1086487062108 32.93791637630884, -117.1119521303835 32.94490087989351, -117.1145550465978 32.95217554337505, -117.1164323873478 32.95967030776741, -117.1175660728157 32.96731299439243, -117.1179451849909 32.97503, -117.1175660728157 32.98274700560756, -117.1164323873478 32.99038969223258, -117.1145550465978 32.99788445662494, -117.1119521303835 33.00515912010648, -117.1086487062108 33.01214362369115, -117.1046765878605 33.0187707027913, -117.1000740290036 33.02497653501247, -117.0948853547979 33.03070135479791, -117.0891605350125 33.0358900290036, -117.0829547027913 33.0404925878605, -117.0763276236912 33.04446470621082, -117.0693431201065 33.04776813038345, -117.0620684566249 33.05037104659778, -117.0545736922326 33.05224838734777, -117.0469310056076 33.05338207281574, -117.039214 33.0537611849909, -117.0314969943924 33.05338207281574, -117.0238543077674 33.05224838734777, -117.0163595433751 33.05037104659778, -117.0090848798935 33.04776813038345, -117.0021003763088 33.04446470621082, -116.9954732972087 33.0404925878605, -116.9892674649875 33.0358900290036, -116.9835426452021 33.03070135479791, -116.9783539709964 33.02497653501247, -116.9737514121395 33.0187707027913, -116.9697792937892 33.01214362369115, -116.9664758696165 33.00515912010648, -116.9638729534022 32.99788445662494, -116.9619956126522 32.99038969223258, -116.9608619271843 32.98274700560756, -116.9604828150091 32.97503))"
2,Bird Rock,32.8096059823,-117.265816997,2,"POLYGON ((-117.1870858120091 32.8096059823, -117.1874649241843 32.80188897669243, -117.1885986096522 32.79424629006741, -117.1904759504022 32.78675152567505, -117.1930788666165 32.77947686219351, -117.1963822907892 32.77249235860884, -117.2003544091395 32.7658652795087, -117.2049569679964 32.75965944728753, -117.2101456422021 32.75393462750208, -117.2158704619875 32.7487459532964, -117.2220762942087 32.7441433944395, -117.2287033733088 32.74017127608918, -117.2356878768935 32.73686785191654, -117.2429625403751 32.73426493570221, -117.2504573047674 32.73238759495222, -117.2580999913924 32.73125390948425, -117.265816997 32.7308747973091, -117.2735340026076 32.73125390948425, -117.2811766892326 32.73238759495222, -117.2886714536249 32.73426493570221, -117.2959461171065 32.73686785191654, -117.3029306206912 32.74017127608918, -117.3095576997913 32.7441433944395, -117.3157635320125 32.7487459532964, -117.3214883517979 32.75393462750208, -117.3266770260036 32.75965944728753, -117.3312795848605 32.7658652795087, -117.3352517032108 32.77249235860884, -117.3385551273835 32.77947686219351, -117.3411580435978 32.78675152567505, -117.3430353843478 32.79424629006741, -117.3441690698157 32.80188897669243, -117.3445481819909 32.8096059823, -117.3441690698157 32.81732298790757, -117.3430353843478 32.82496567453259, -117.3411580435978 32.83246043892495, -117.3385551273835 32.83973510240649, -117.3352517032108 32.84671960599115, -117.3312795848605 32.8533466850913, -117.3266770260036 32.85955251731247, -117.3214883517979 32.86527733709791, -117.3157635320125 32.8704660113036, -117.3095576997913 32.8750685701605, -117.3029306206912 32.87904068851082, -117.2959461171065 32.88234411268346, -117.2886714536249 32.88494702889778, -117.2811766892326 32.88682436964778, -117.2735340026076 32.88795805511575, -117.265816997 32.8883371672909, -117.2580999913924 32.88795805511575, -117.2504573047674 32.88682436964778, -117.2429625403751 32.88494702889778, -117.2356878768935 32.88234411268346, -117.2287033733088 32.87904068851082, -117.2220762942087 32.8750685701605, -117.2158704619875 32.8704660113036, -117.2101456422021 32.86527733709791, -117.2049569679964 32.85955251731247, -117.2003544091395 32.8533466850913, -117.1963822907892 32.84671960599115, -117.1930788666165 32.83973510240649, -117.1904759504022 32.83246043892495, -117.1885986096522 32.82496567453259, -117.1874649241843 32.81732298790757, -117.1870858120091 32.8096059823))"
3,Otay,32.6149830452,-117.033413607,3,"POLYGON ((-116.9546824220091 32.6149830452, -116.9550615341843 32.60726603959243, -116.9561952196522 32.59962335296741, -116.9580725604022 32.59212858857505, -116.9606754766165 32.58485392509351, -116.9639789007892 32.57786942150884, -116.9679510191395 32.57124234240869, -116.9725535779964 32.56503651018753, -116.9777422522021 32.55931169040208, -116.9834670719875 32.5541230161964, -116.9896729042087 32.5495204573395, -116.9962999833088 32.54554833898918, -117.0032844868935 32.54224491481654, -117.0105591503751 32.53964199860221, -117.0180539147674 32.53776465785222, -117.0256966013924 32.53663097238425, -117.033413607 32.5362518602091, -117.0411306126076 32.53663097238425, -117.0487732992326 32.53776465785222, -117.0562680636249 32.53964199860221, -117.0635427271065 32.54224491481654, -117.0705272306912 32.54554833898918, -117.0771543097913 32.5495204573395, -117.0833601420125 32.5541230161964, -117.0890849617979 32.55931169040208, -117.0942736360036 32.56503651018753, -117.0988761948605 32.57124234240869, -117.1028483132108 32.57786942150884, -117.1061517373835 32.58485392509351, -117.1087546535978 32.59212858857505, -117.1106319943478 32.59962335296741, -117.1117656798157 32.60726603959243, -117.1121447919909 32.6149830452, -117.1117656798157 32.62270005080757, -117.1106319943478 32.63034273743258, -117.1087546535978 32.63783750182495, -117.1061517373835 32.64511216530649, -117.1028483132108 32.65209666889115, -117.0988761948605 32.6587237479913, -117.0942736360036 32.66492958021247, -117.0890849617979 32.67065439999791, -117.0833601420125 32.6758430742036, -117.0771543097913 32.6804456330605, -117.0705272306912 32.68441775141082, -117.0635427271065 32.68772117558346, -117.0562680636249 32.69032409179778, -117.0487732992326 32.69220143254778, -117.0411306126076 32.69333511801575, -117.033413607 32.6937142301909, -117.0256966013924 32.69333511801575, -117.0180539147674 32.69220143254778, -117.0105591503751 32.69032409179778, -117.0032844868935 32.68772117558346, -116.9962999833088 32.68441775141082, -116.9896729042087 32.6804456330605, -116.9834670719875 32.6758430742036, -116.9777422522021 32.67065439999791, -116.9725535779964 32.66492958021247, -116.9679510191395 32.6587237479913, -116.9639789007892 32.65209666889115, -116.9606754766165 32.64511216530649, -116.9580725604022 32.63783750182495, -116.9561952196522 32.63034273743258, -116.9550615341843 32.62270005080757, -116.9546824220091 32.6149830452))"
4,Ocean Beach,32.7407613478,-117.234059469,4,"POLYGON ((-117.1553282840091 32.7407613478, -117.1557073961843 32.73304434219244, -117.1568410816522 32.72540165556742, -117.1587184224022 32.71790689117505, -117.1613213386165 32.71063222769352, -117.1646247627892 32.70364772410885, -117.1685968811395 32.6970206450087, -117.1731994399964 32.69081481278753, -117.1783881142021 32.68508999300209, -117.1841129339875 32.6799013187964, -117.1903187662087 32.6752987599395, -117.1969458453088 32.67132664158918, -117.2039303488935 32.66802321741655, -117.2112050123751 32.66542030120222, -117.2186997767674 32.66354296045223, -117.2263424633924 32.66240927498426, -117.234059469 32.6620301628091, -117.2417764746076 32.66240927498426, -117.2494191612326 32.66354296045223, -117.2569139256249 32.66542030120222, -117.2641885891065 32.66802321741655, -117.2711730926912 32.67132664158918, -117.2778001717913 32.6752987599395, -117.2840060040125 32.6799013187964, -117.2897308237979 32.68508999300209, -117.2949194980036 32.69081481278753, -117.2995220568605 32.6970206450087, -117.3034941752108 32.70364772410885, -117.3067975993835 32.71063222769352, -117.3094005155978 32.71790689117505, -117.3112778563478 32.72540165556742, -117.3124115418157 32.73304434219244, -117.3127906539909 32.7407613478, -117.3124115418157 32.74847835340757, -117.3112778563478 32.75612104003259, -117.3094005155978 32.76361580442495, -117.3067975993835 32.77089046790649, -117.3034941752108 32.77787497149116, -117.2995220568605 32.78450205059131, -117.2949194980036 32.79070788281248, -117.2897308237979 32.79643270259792, -117.2840060040125 32.8016213768036, -117.2778001717913 32.8062239356605, -117.2711730926912 32.81019605401082, -117.2641885891065 32.81349947818346, -117.2569139256249 32.81610239439779, -117.2494191612326 32.81797973514778, -117.2417764746076 32.81911342061575, -117.234059469 32.8194925327909, -117.2263424633924 32.81911342061575, -117.2186997767674 32.81797973514778, -117.2112050123751 32.81610239439779, -117.2039303488935 32.81349947818346, -117.1969458453088 32.81019605401082, -117.1903187662087 32.8062239356605, -117.1841129339875 32.8016213768036, -117.1783881142021 32.79643270259792, -117.1731994399964 32.79070788281248, -117.1685968811395 32.78450205059131, -117.1646247627892 32.77787497149116, -117.1613213386165 32.77089046790649, -117.1587184224022 32.76361580442495, -117.1568410816522 32.75612104003259, -117.1557073961843 32.74847835340757, -117.1553282840091 32.7407613478))"
5,North Park,32.7448502996,-117.142972308,5,"POLYGON ((-117.0642411230091 32.7448502996, -117.0646202351843 32.73713329399244, -117.0657539206522 32.72949060736742, -117.0676312614022 32.72199584297505, -117.0702341776165 32.71472117949352, -117.0735376017892 32.70773667590885, -117.0775097201395 32.7011095968087, -117.0821122789964 32.69490376458753, -117.0873009532021 32.68917894480209, -117.0930257729875 32.6839902705964, -117.0992316052087 32.6793877117395, -117.1058586843088 32.67541559338918, -117.1128431878935 32.67211216921655, -117.1201178513751 32.66950925300222, -117.1276126157674 32.66763191225223, -117.1352553023924 32.66649822678426, -117.142972308 32.6661191146091, -117.1506893136076 32.66649822678426, -117.1583320002326 32.66763191225223, -117.1658267646249 32.66950925300222, -117.1731014281065 32.67211216921655, -117.1800859316912 32.67541559338918, -117.1867130107913 32.6793877117395, -117.1929188430125 32.6839902705964, -117.1986436627979 32.68917894480209, -117.2038323370036 32.69490376458753, -117.2084348958605 32.7011095968087, -117.2124070142108 32.70773667590885, -117.2157104383835 32.71472117949352, -117.2183133545978 32.72199584297505, -117.2201906953478 32.72949060736742, -117.2213243808157 32.73713329399244, -117.2217034929909 32.7448502996, -117.2213243808157 32.75256730520757, -117.2201906953478 32.76020999183259, -117.2183133545978 32.76770475622495, -117.2157104383835 32.77497941970649, -117.2124070142108 32.78196392329116, -117.2084348958605 32.78859100239131, -117.2038323370036 32.79479683461248, -117.1986436627979 32.80052165439792, -117.1929188430125 32.8057103286036, -117.1867130107913 32.8103128874605, -117.1800859316912 32.81428500581082, -117.1731014281065 32.81758842998346, -117.1658267646249 32.82019134619779, -117.1583320002326 32.82206868694778, -117.1506893136076 32.82320237241575, -117.142972308 32.8235814845909, -117.1352553023924 32.82320237241575, -117.1276126157674 32.82206868694778, -117.1201178513751 32.82019134619779, -117.1128431878935 32.81758842998346, -117.1058586843088 32.81428500581082, -117.0992316052087 32.8103128874605, -117.0930257729875 32.8057103286036, -117.0873009532021 32.80052165439792, -117.0821122789964 32.79479683461248, -117.0775097201395 32.78859100239131, -117.0735376017892 32.78196392329116, -117.0702341776165 32.77497941970649, -117.0676312614022 32.76770475622495, -117.0657539206522 32.76020999183259, -117.0646202351843 32.75256730520757, -117.0642411230091 32.7448502996))"
6,4S Del Norte,33.0383246689,-117.10904655,6,"POLYGON ((-117.0303153650091 33.0383246689, -117.0306944771843 33.03060766329244, -117.0318281626522 33.02296497666742, -117.0337055034022 33.01547021227505, -117.0363084196165 33.00819554879352, -117.0396118437892 33.00121104520885, -117.0435839621395 32.9945839661087, -117.0481865209964 32.98837813388753, -117.0533751952021 32.98265331410209, -117.0591000149875 32.9774646398964, -117.0653058472087 32.9728620810395, -117.0719329263088 32.96888996268918, -117.0789174298935 32.96558653851655, -117.0861920933751 32.96298362230222, -117.0936868577674 32.96110628155223, -117.1013295443924 32.95997259608426, -117.10904655 32.9595934839091, -117.1167635556076 32.95997259608426, -117.1244062422326 32.96110628155223, -117.1319010066249 32.96298362230222, -117.1391756701065 32.96558653851655, -117.1461601736912 32.96888996268918, -117.1527872527913 32.9728620810395, -117.1589930850125 32.9774646398964, -117.1647179047979 32.98265331410209, -117.1699065790036 32.98837813388753, -117.1745091378605 32.9945839661087, -117.1784812562108 33.00121104520885, -117.1817846803835 33.00819554879352, -117.1843875965978 33.01547021227505, -117.1862649373478 33.02296497666742, -117.1873986228157 33.03060766329244, -117.1877777349909 33.0383246689, -117.1873986228157 33.04604167450757, -117.1862649373478 33.05368436113259, -117.1843875965978 33.06117912552495, -117.1817846803835 33.06845378900649, -117.1784812562108 33.07543829259116, -117.1745091378605 33.08206537169131, -117.1699065790036 33.08827120391248, -117.1647179047979 33.09399602369792, -117.1589930850125 33.0991846979036, -117.1527872527913 33.1037872567605, -117.1461601736912 33.10775937511082, -117.1391756701065 33.11106279928346, -117.1319010066249 33.11366571549779, -117.1244062422326 33.11554305624778, -117.1167635556076 33.11667674171575, -117.10904655 33.1170558538909, -117.1013295443924 33.11667674171575, -117.0936868577674 33.11554305624778, -117.0861920933751 33.11366571549779, -117.0789174298935 33.11106279928346, -117.0719329263088 33.10775937511082, -117.0653058472087 33.1037872567605, -117.0591000149875 33.0991846979036, -117.0533751952021 33.09399602369792, -117.0481865209964 33.08827120391248, -117.0435839621395 33.08206537169131, -117.0396118437892 33.07543829259116, -117.0363084196165 33.06845378900649, -117.0337055034022 33.06117912552495, -117.0318281626522 33.05368436113259, -117.0306944771843 33.04604167450757, -117.0303153650091 33.0383246689))"
7,Carmel Valley,32.94792,-117.241522,7,"POLYGON ((-117.1627908150091 32.94792, -117.1631699271843 32.94020299439244, -117.1643036126522 32.93256030776742, -117.1661809534022 32.92506554337506, -117.1687838696165 32.91779087989352, -117.1720872937892 32.91080637630885, -117.1760594121395 32.9041792972087, -117.1806619709964 32.89797346498753, -117.1858506452021 32.89224864520209, -117.1915754649875 32.8870599709964, -117.1977812972087 32.8824574121395, -117.2044083763088 32.87848529378918, -117.2113928798935 32.87518186961655, -117.2186675433751 32.87257895340222, -117.2261623077674 32.87070161265223, -117.2338049943924 32.86956792718426, -117.241522 32.8691888150091, -117.2492390056076 32.86956792718426, -117.2568816922326 32.87070161265223, -117.2643764566249 32.87257895340222, -117.2716511201065 32.87518186961655, -117.2786356236912 32.87848529378918, -117.2852627027913 32.8824574121395, -117.2914685350125 32.8870599709964, -117.2971933547979 32.89224864520209, -117.3023820290036 32.89797346498753, -117.3069845878605 32.9041792972087, -117.3109567062108 32.91080637630885, -117.3142601303835 32.91779087989352, -117.3168630465978 32.92506554337506, -117.3187403873478 32.93256030776742, -117.3198740728158 32.94020299439244, -117.3202531849909 32.94792, -117.3198740728158 32.95563700560757, -117.3187403873478 32.96327969223259, -117.3168630465978 32.97077445662495, -117.3142601303835 32.97804912010649, -117.3109567062108 32.98503362369116, -117.3069845878605 32.99166070279131, -117.3023820290036 32.99786653501248, -117.2971933547979 33.00359135479792, -117.2914685350125 33.0087800290036, -117.2852627027913 33.01338258786051, -117.2786356236912 33.01735470621082, -117.2716511201065 33.02065813038346, -117.2643764566249 33.02326104659779, -117.2568816922326 33.02513838734778, -117.2492390056076 33.02627207281575, -117.241522 33.0266511849909, -117.2338049943924 33.02627207281575, -117.2261623077674 33.02513838734778, -117.2186675433751 33.02326104659779, -117.2113928798935 33.02065813038346, -117.2044083763088 33.01735470621082, -117.1977812972087 33.01338258786051, -117.1915754649875 33.0087800290036, -117.1858506452021 33.00359135479792, -117.1806619709964 32.99786653501248, -117.1760594121395 32.99166070279131, -117.1720872937892 32.98503362369116, -117.1687838696165 32.97804912010649, -117.1661809534022 32.97077445662495, -117.1643036126522 32.96327969223259, -117.1631699271843 32.95563700560757, -117.1627908150091 32.94792))"
8,UTC,32.874481,-117.211164,8,"POLYGON ((-117.1324328150091 32.874481, -117.1328119271842 32.86676399439244, -117.1339456126522 32.85912130776742, -117.1358229534022 32.85162654337505, -117.1384258696165 32.84435187989352, -117.1417292937892 32.83736737630885, -117.1457014121395 32.8307402972087, -117.1503039709964 32.82453446498753, -117.1554926452021 32.81880964520209, -117.1612174649875 32.8136209709964, -117.1674232972087 32.8090184121395, -117.1740503763088 32.80504629378918, -117.1810348798935 32.80174286961655, -117.1883095433751 32.79913995340222, -117.1958043077674 32.79726261265223, -117.2034469943924 32.79612892718426, -117.211164 32.7957498150091, -117.2188810056076 32.79612892718426, -117.2265236922326 32.79726261265223, -117.2340184566249 32.79913995340222, -117.2412931201065 32.80174286961655, -117.2482776236912 32.80504629378918, -117.2549047027913 32.8090184121395, -117.2611105350125 32.8136209709964, -117.2668353547979 32.81880964520209, -117.2720240290036 32.82453446498753, -117.2766265878605 32.8307402972087, -117.2805987062108 32.83736737630885, -117.2839021303835 32.84435187989352, -117.2865050465978 32.85162654337505, -117.2883823873478 32.85912130776742, -117.2895160728157 32.86676399439244, -117.2898951849909 32.874481, -117.2895160728157 32.88219800560757, -117.2883823873478 32.88984069223259, -117.2865050465978 32.89733545662495, -117.2839021303835 32.90461012010649, -117.2805987062108 32.91159462369116, -117.2766265878605 32.91822170279131, -117.2720240290036 32.92442753501248, -117.2668353547979 32.93015235479792, -117.2611105350125 32.9353410290036, -117.2549047027913 32.9399435878605, -117.2482776236912 32.94391570621082, -117.2412931201065 32.94721913038346, -117.2340184566249 32.94982204659779, -117.2265236922326 32.95169938734778, -117.2188810056076 32.95283307281575, -117.211164 32.9532121849909, -117.2034469943924 32.95283307281575, -117.1958043077674 32.95169938734778, -117.1883095433751 32.94982204659779, -117.1810348798935 32.94721913038346, -117.1740503763088 32.94391570621082, -117.1674232972087 32.9399435878605, -117.1612174649875 32.9353410290036, -117.1554926452021 32.93015235479792, -117.1503039709964 32.92442753501248, -117.1457014121395 32.91822170279131, -117.1417292937892 32.91159462369116, -117.1384258696165 32.90461012010649, -117.1358229534022 32.89733545662495, -117.1339456126522 32.88984069223259, -117.1328119271842 32.88219800560757, -117.1324328150091 32.874481))"
9,PB Portal,32.80341,-117.226234,9,"POLYGON ((-117.1475028150091 32.80341, -117.1478819271843 32.79569299439243, -117.1490156126522 32.78805030776741, -117.1508929534022 32.78055554337505, -117.1534958696165 32.77328087989351, -117.1567992937892 32.76629637630884, -117.1607714121395 32.7596692972087, -117.1653739709964 32.75346346498753, -117.1705626452021 32.74773864520208, -117.1762874649875 32.7425499709964, -117.1824932972087 32.7379474121395, -117.1891203763088 32.73397529378918, -117.1961048798935 32.73067186961654, -117.2033795433751 32.72806895340221, -117.2108743077674 32.72619161265222, -117.2185169943924 32.72505792718425, -117.226234 32.7246788150091, -117.2339510056076 32.72505792718425, -117.2415936922326 32.72619161265222, -117.2490884566249 32.72806895340221, -117.2563631201065 32.73067186961654, -117.2633476236912 32.73397529378918, -117.2699747027913 32.7379474121395, -117.2761805350125 32.7425499709964, -117.2819053547979 32.74773864520208, -117.2870940290036 32.75346346498753, -117.2916965878605 32.7596692972087, -117.2956687062108 32.76629637630884, -117.2989721303835 32.77328087989351, -117.3015750465978 32.78055554337505, -117.3034523873478 32.78805030776741, -117.3045860728158 32.79569299439243, -117.3049651849909 32.80341, -117.3045860728158 32.81112700560757, -117.3034523873478 32.81876969223259, -117.3015750465978 32.82626445662495, -117.2989721303835 32.83353912010649, -117.2956687062108 32.84052362369115, -117.2916965878605 32.8471507027913, -117.2870940290036 32.85335653501247, -117.2819053547979 32.85908135479792, -117.2761805350125 32.8642700290036, -117.2699747027913 32.8688725878605, -117.2633476236912 32.87284470621082, -117.2563631201065 32.87614813038346, -117.2490884566249 32.87875104659778, -117.2415936922326 32.88062838734778, -117.2339510056076 32.88176207281575, -117.226234 32.8821411849909, -117.2185169943924 32.88176207281575, -117.2108743077674 32.88062838734778, -117.2033795433751 32.87875104659778, -117.1961048798935 32.87614813038346, -117.1891203763088 32.87284470621082, -117.1824932972087 32.8688725878605, -117.1762874649875 32.8642700290036, -117.1705626452021 32.85908135479792, -117.1653739709964 32.85335653501247, -117.1607714121395 32.8471507027913, -117.1567992937892 32.84052362369115, -117.1534958696165 32.83353912010649, -117.1508929534022 32.82626445662495, -117.1490156126522 32.81876969223259, -117.1478819271843 32.81112700560757, -117.1475028150091 32.80341))"
10,North Clairemont,32.838544,-117.201604,10,"POLYGON ((-117.1228728150091 32.838544, -117.1232519271843 32.83082699439243, -117.1243856126522 32.82318430776741, -117.1262629534022 32.81568954337505, -117.1288658696165 32.80841487989351, -117.1321692937892 32.80143037630884, -117.1361414121395 32.79480329720869, -117.1407439709964 32.78859746498753, -117.1459326452021 32.78287264520208, -117.1516574649875 32.7776839709964, -117.1578632972087 32.7730814121395, -117.1644903763088 32.76910929378918, -117.1714748798935 32.76580586961654, -117.1787495433751 32.76320295340221, -117.1862443077674 32.76132561265222, -117.1938869943924 32.76019192718425, -117.201604 32.7598128150091, -117.2093210056076 32.76019192718425, -117.2169636922326 32.76132561265222, -117.2244584566249 32.76320295340221, -117.2317331201065 32.76580586961654, -117.2387176236912 32.76910929378918, -117.2453447027913 32.7730814121395, -117.2515505350125 32.7776839709964, -117.2572753547979 32.78287264520208, -117.2624640290036 32.78859746498753, -117.2670665878605 32.79480329720869, -117.2710387062108 32.80143037630884, -117.2743421303835 32.80841487989351, -117.2769450465978 32.81568954337505, -117.2788223873478 32.82318430776741, -117.2799560728158 32.83082699439243, -117.2803351849909 32.838544, -117.2799560728158 32.84626100560757, -117.2788223873478 32.85390369223258, -117.2769450465978 32.86139845662495, -117.2743421303835 32.86867312010649, -117.2710387062108 32.87565762369115, -117.2670665878605 32.8822847027913, -117.2624640290036 32.88849053501247, -117.2572753547979 32.89421535479791, -117.2515505350125 32.8994040290036, -117.2453447027913 32.9040065878605, -117.2387176236912 32.90797870621082, -117.2317331201065 32.91128213038346, -117.2244584566249 32.91388504659778, -117.2169636922326 32.91576238734778, -117.2093210056076 32.91689607281575, -117.201604 32.9172751849909, -117.1938869943924 32.91689607281575, -117.1862443077674 32.91576238734778, -117.1787495433751 32.91388504659778, -117.1714748798935 32.91128213038346, -117.1644903763088 32.90797870621082, -117.1578632972087 32.9040065878605, -117.1516574649875 32.8994040290036, -117.1459326452021 32.89421535479791, -117.1407439709964 32.88849053501247, -117.1361414121395 32.8822847027913, -117.1321692937892 32.87565762369115, -117.1288658696165 32.86867312010649, -117.1262629534022 32.86139845662495, -117.1243856126522 32.85390369223258, -117.1232519271843 32.84626100560757, -117.1228728150091 32.838544))"
